	mx	my	mt	p
1	2	8	8	28
2	2	8	8	29
3	2	8	8	29
4	2	7	7	30
5	2	7	7	31
6	2	7	7	32
7	2	7	7	33
8	2	7	7	34
9	2	6	6	35
10	2	6	6	36
11	2	6	6	37
12	2	6	6	38
13	2	5	5	39
14	2	5	5	41
15	2	5	5	42
16	2	5	5	44
17	2	5	5	45
18	2	4	4	47
19	2	4	4	49
20	2	4	4	51
21	2	4	4	53
22	2	4	4	56
23	2	3	4	58
24	2	3	4	61
25	2	3	4	64
26	2	3	4	67
27	2	3	4	71
28	2	3	4	75
29	2	3	4	80
30	2	2	3	85
31	2	2	3	90
32	2	2	3	96
33	3	2	4	103
34	3	2	4	110
35	3	2	4	118
36	4	2	4	127
37	4	2	4	136
38	5	2	5	147
39	8	2	8	157
40	16	2	16	169
